docId,sentenceId,sentences,all_passives,all_passives_count,binary,res_u,res_com,res_dif,ID,gender,age,comments
1,1,"a few years ago, i was working as a pharmacy technician at a hospital.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,2,"every so often, a client would ask us to send a prescription to another pharmacy, so i would have to call the other pharmacy in question and speak to the pharmacist to place the order.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,3,"in one instance, i was not aware of a certain federal regulation that made it mandatory to hand a written prescription to the pharmacist, so i could not place the order over the phone.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,4,"the pharmacist that i spoke to was rude, yelled at me for not understanding the regulation, and hung up on me.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,5,"i had to call the store and speak to the general manager about my experience, and i also wrote a complaint to corporate using their complaint form on the website.",,0,0,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
1,6,"a few weeks later, i heard that this pharmacist was terminated.",['was terminated'],1,1,5,2,3,5e365c3a1662ea5feaa6310a,2,30,
2,1,i rarely if ever have had a negative experience with service.,,0,0,4,4,0,6055fb746f6bddc0d1a3e1e0,1,30,none
2,2,i order most things to not have to deal with the hassle of someone messing up.,,0,0,4,4,0,6055fb746f6bddc0d1a3e1e0,1,30,none
3,1,i had an error with my credit card where there was a purchase on there that was not made by me.,['was not made'],1,1,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
3,2,i had to call their customer service line and be transferred to a specific department.,['be transferred'],1,1,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
3,3,the customer service agent was well mannered and we got this information and situation resolved quite easily.,,0,0,2,5,-3,5f0df5a03845a80dfb809e2f,1,40,No.
4,1,i pre-ordered a sandwich using the restaurant's app.,,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,2,"the app told me the food was ready to be picked up, and would be on a pick-up shelf.",['be picked'],1,1,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,3,"when i got there, the food was not on the shelf.",,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,4,"no one would look at me or acknowledge me, so i had to wait in the general line and wait for my food, defeating the purpose of pre-ordering and using the app.",,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
4,5,the staff was pretty rude about all of it too.,,0,0,1,7,-6,6111af236d2dfed5e52c8fd2,1,27,No
5,1,i was in new york city with a friend and we decided to order take out to bring back to our hotel room.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,2,my friend has a dairy allergy and most of the items on the menu had dairy.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,3,we had informed them of the allergy but the person taking our order did not know if some of the menu items contained dairy or not so we gave her a lot of options to choose from if she finds out they have dairy.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,4,"when we got to the restaurant to pick up, it turned out that all of the items we ordered had dairy except 1 or 2.",,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,5,they gave us our order and we left to buy something else for my friend.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,6,"when i opened the bag, it turns out that the waitress had taken out all of the things that i had ordered for myself, even though i was not allergic to dairy.",,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
5,7,i had ordered mac and cheese for myself but she had taken it out thinking that we can't have it because there was dairy.,,0,0,2,4,-2,61057003a06aaf6ab19fcbaa,2,27,
6,1,"so for background, i run a clothing business online.",,0,0,3,5,-2,61140fbc763ecf6f2de71183,2,23,
6,2,"at the beginning of the month, i had a package that needed to be shipped internationally just come up missing.",['be shipped'],1,1,3,5,-2,61140fbc763ecf6f2de71183,2,23,
6,3,"well, after i filed a report 2 weeks after seeing no progress, i file a report to usps.",,0,0,3,5,-2,61140fbc763ecf6f2de71183,2,23,
6,4,"they called me back at 10 pm, and the person leaving a message sounded sick of their job and just not helpful or concerned.",,0,0,3,5,-2,61140fbc763ecf6f2de71183,2,23,
6,5,"since then, i haven't been able to get back in touch.",,0,0,3,5,-2,61140fbc763ecf6f2de71183,2,23,
7,1,i lived in an apartment building where everyone was required to have the same wifi provider.,['was required'],1,1,1,6,-5,60feedfaf00a8094a9bda931,2,26,No
7,2,"but with all of the different connections, all of the tenants signals were interfering with the others.",,0,0,1,6,-5,60feedfaf00a8094a9bda931,2,26,No
7,3,when we called to ask if there was anything that could be done to stop our signals from interrupting or being interrupted the wifi company said there was nothing they could do an we had to deal with it.,"['could be done', 'being interrupted']",2,1,1,6,-5,60feedfaf00a8094a9bda931,2,26,No
7,4,so they said we still had to pay full price for a service that no one in the building could use smoothly.,,0,0,1,6,-5,60feedfaf00a8094a9bda931,2,26,No
8,1,i placed an order for some chinese take out online.,,0,0,1,7,-6,5dcefdea710dfc05309c2f77,2,53,
8,2,my son wanted orange chicken.,,0,0,1,7,-6,5dcefdea710dfc05309c2f77,2,53,
8,3,we picked up the order from the store and then when we got home the orance chicken was not in the box.,,0,0,1,7,-6,5dcefdea710dfc05309c2f77,2,53,
9,1,my credit card was being used by someone else in another part of the state.,['was being used'],1,1,1,6,-5,611fde2098d73025ce65dcf1,2,22,
9,2,my bank had sent a new card and the same thing happened again.,,0,0,1,6,-5,611fde2098d73025ce65dcf1,2,22,
9,3,the transactions never stopped after each time i was issued another card.,['was issued'],1,1,1,6,-5,611fde2098d73025ce65dcf1,2,22,
9,4,i became so frustrated that i just let it happen cause i was tired of getting new cards every week.,,0,0,1,6,-5,611fde2098d73025ce65dcf1,2,22,
10,1,i was recently traveling by plane.,,0,0,2,5,-3,60adc3d73eaada8d817e9bc8,1,37,
10,2,a tornado occurred the day i departed and delayed my flight.,,0,0,2,5,-3,60adc3d73eaada8d817e9bc8,1,37,
10,3,the gate agent didn't seem empathetic or even care that i was significantly inconvenienced.,['was significantly inconvenienced'],1,1,2,5,-3,60adc3d73eaada8d817e9bc8,1,37,
10,4,i will reconsider flying with this airline next time.,,0,0,2,5,-3,60adc3d73eaada8d817e9bc8,1,37,
11,1,i rarely go to the taco bell near my house as i have had more negative experiences than positive.,,0,0,1,7,-6,5f0a764300d38734b1f70154,2,48,
11,2,however i was craving it last week and decided to give them a chance.,,0,0,1,7,-6,5f0a764300d38734b1f70154,2,48,
11,3,i ordered my food thru the drive thru and when i got home i realized they forgot one of my items along with the sauce i asked for.,,0,0,1,7,-6,5f0a764300d38734b1f70154,2,48,
12,1,i once rented a car on vacation.,,0,0,1,7,-6,5626792dddff3c000bbcd2d1,1,31,
12,2,"when i went to look at my credit card, i was charged $500 more than i was quoted.","['was charged', 'was quoted']",2,1,1,7,-6,5626792dddff3c000bbcd2d1,1,31,
12,3,"when i called the rental car company, they said i received a car that was a size up from what i requested.",,0,0,1,7,-6,5626792dddff3c000bbcd2d1,1,31,
12,4,"i did not receive that car, and it almost seemed like a scam and that they were hoping i wouldn't notice the extra charge.",,0,0,1,7,-6,5626792dddff3c000bbcd2d1,1,31,
12,5,"eventually, after working my way up to a manager, they were able to correct the charge.",,0,0,1,7,-6,5626792dddff3c000bbcd2d1,1,31,
13,1,i had placed an online order for a product from a very popular business.,,0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
13,2,i had been waiting for a while to receive my product and the tracking service the business used was faulty.,,0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
13,3,"when i received the product, not only did i receive the incorrect product, but i also noticed they had taken 3x the amount of the product out of my account.",,0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
13,4,they refused to return the money they had taken and gave me only a partial refund on the return of the item.,,0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
13,5,i had to file a dispute with my bank.,,0,0,1,7,-6,60ff2412969d112ed2157dc5,2,19,no
14,1,i stayed in a hotel that put a lot of charges on my credit card for seemingly no reason.,,0,0,2,5,-3,610a05fae5b36b5ef8a38fc4,3,18,
14,2,"they told me they would put holding charges on my card, to which i agreed, but it was processed as multiple transactions of varying amounts.",['was processed'],1,1,2,5,-3,610a05fae5b36b5ef8a38fc4,3,18,
14,3,"i emailed them and didn't get a response, but the charges were cancelled.",['were cancelled'],1,1,2,5,-3,610a05fae5b36b5ef8a38fc4,3,18,
15,1,i had a bad experience at taco bell.,,0,0,1,7,-6,5d6c26967832980018762e61,2,32,no
15,2,they messed up my taco order and i had to have them remake it.,,0,0,1,7,-6,5d6c26967832980018762e61,2,32,no
15,3,they remade it 5 times before they finally got it right.,,0,0,1,7,-6,5d6c26967832980018762e61,2,32,no
15,4,i was so frustrated.,,0,0,1,7,-6,5d6c26967832980018762e61,2,32,no
15,5,it was resolved by me writing what i wanted on the tacos on a sheet of paper and giving it to them to follow.,['was resolved'],1,1,1,7,-6,5d6c26967832980018762e61,2,32,no
16,1,i ordered a shirt from a website.,,0,0,1,7,-6,610998fde656dcf7a023da2d,2,38,no
16,2,"the shirt arrived, but was the wrong color and size.",,0,0,1,7,-6,610998fde656dcf7a023da2d,2,38,no
16,3,i tried to reach customer service but have been unable to resolve.,,0,0,1,7,-6,610998fde656dcf7a023da2d,2,38,no
17,1,calling an airline to cancel a flight due to covid and wanting a refund due to the severity of shut down at the time.,,0,0,2,6,-4,5ee9745d9562c93212057ebb,2,30,
17,2,the airline refused to refund me the flight or allow me to gain credit for the flight,,0,0,2,6,-4,5ee9745d9562c93212057ebb,2,30,
18,1,a company we used to manage our shredded documents have started to bill me again even though we closed the particular office they serviced 9 months ago.,,0,0,1,7,-6,612136cb9baf34e320a3ce97,2,56,
18,2, an upgrade to the shredding company's software caused our account to be reopened inadvertently.,['be reopened'],1,1,1,7,-6,612136cb9baf34e320a3ce97,2,56,
18,3, i've reached the company and they will credit us and note the account closed.,,0,0,1,7,-6,612136cb9baf34e320a3ce97,2,56,
19,1,my family and i were eating at a restaurant and had an unfortunate experience with a server.,,0,0,3,5,-2,60fcce7afe5a12defa3da47f,2,19,
19,2,he was impatient while taking our orders and generally in a bad mood.,,0,0,3,5,-2,60fcce7afe5a12defa3da47f,2,19,
19,3,"my younger sister accidentally broke a glass and this put him in an even worse mood, to the point that my mom asked (nicely) if we could have a different server.",,0,0,3,5,-2,60fcce7afe5a12defa3da47f,2,19,
19,4,"he apologized after that and gave us a free dessert, and i think he felt bad about how he had been acting.",,0,0,3,5,-2,60fcce7afe5a12defa3da47f,2,19,
20,1,going back many years ago i had a disagreement with a credit card co. they were charging a late fee that i knew wasn't right.,,0,0,1,7,-6,616befee35e875a91fbe19cd,2,79,
20,2,i had to talk to several people before it got straightened out and they took the charged fee off.,['got straightened'],1,1,1,7,-6,616befee35e875a91fbe19cd,2,79,
21,1,"i went to walmart to buy some snacks for a movie night, and while the cashier was ringing me up, she brought up how unhealthy the foods i was getting were.",,0,0,2,6,-4,5c4f8e27232d020001303d05,2,21,
21,2,"i found this very inappropriate, especially because i had friends with eating disorders.",,0,0,2,6,-4,5c4f8e27232d020001303d05,2,21,
21,3,"ultimately, i did nothing.",,0,0,2,6,-4,5c4f8e27232d020001303d05,2,21,
21,4,"i sort of just laughed and said ""yeah.""",,0,0,2,6,-4,5c4f8e27232d020001303d05,2,21,
22,1,i ordered a bagel from panera it took 30 minutes and came out cold.,,0,0,1,7,-6,6109c5da0a0fb8b6e538cb31,2,21,
22,2,i asked about it twice.,,0,0,1,7,-6,6109c5da0a0fb8b6e538cb31,2,21,
22,3,i could not spread my butter because it was cold.,,0,0,1,7,-6,6109c5da0a0fb8b6e538cb31,2,21,
22,4,it takes one minute to make a bagel i don't know why it took 30.,,0,0,1,7,-6,6109c5da0a0fb8b6e538cb31,2,21,
23,1,i ordered from mcdonalds and the order they gave me was wrong.,,0,0,1,7,-6,5962d463604aac0001210f67,2,30,No
23,2,it was correct on the receipt so i showed them the receipt and showed them the order they gave me.,,0,0,1,7,-6,5962d463604aac0001210f67,2,30,No
23,3,they let me keep the wrong order and told me to wait and they would bring out my correct order.,,0,0,1,7,-6,5962d463604aac0001210f67,2,30,No
23,4,they also apologized and even gave me extra sauce for my meal.,,0,0,1,7,-6,5962d463604aac0001210f67,2,30,No
24,1,i recently went out to eat.,,0,0,1,6,-5,61041ee352053324556d8019,2,24,no
24,2,"when we arrived, the hosts did not greet us for at least 10 minutes, so we stood there looking confused.",,0,0,1,6,-5,61041ee352053324556d8019,2,24,no
24,3,we had reservations for 7:30 and did not get sat until 7:50.,['get sat'],1,1,1,6,-5,61041ee352053324556d8019,2,24,no
24,4,the hosts were not very kind or accommodating.,,0,0,1,6,-5,61041ee352053324556d8019,2,24,no
25,1,i was at a very busy restaurant that is filled with tourists.,,0,0,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
25,2,"we had to wait over an hour for a table, longer than we were told.",['were told'],1,1,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
25,3,i was not brought the drink that i ordered and had to ask someone else for a drink.,['was not brought'],1,1,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
25,4,the food took incredibly long and wasn't very great tasting.,,0,0,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
25,5,"however, the server was nice and we understood the stress of serving.",,0,0,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
25,6,we did not complain except for asking how much longer for our food and tipped 20%.,,0,0,2,6,-4,615b22b2b654b57bcb5ad7b3,2,20,
26,1,i wanted to check if i could use my new cell phone with us mobile.,,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
26,2,"unlike other sites, it didn't have a phone checker on the site.",,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
26,3,i tried to engage with the customer service on chat.,,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
26,4,"that person on chat had trouble understanding what i wanted, seemed somewhat argumentative, and finally checked the phone (by its number) for me.",,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
26,5,i just didn't have any confidence in us mobile after this and i don't understand why their website is so difficult and why the customer service  person couldn't comprehend what i wanted.,,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
26,6,based on this i decided not to use us mobile.,,0,0,1,7,-6,55cf5cc434e9060005e56c39,2,61,"I was worried my story wasn't negative enough, but I found it negative."
27,1,one time we decided to extend a one-day trip at the last minute.,,0,0,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
27,2,"hotels near us were booked, but we found something further away and booked online.",['were booked'],1,1,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
27,3,"on check-in we discovered that the room was filthy, crawling with insects, the floor giving way under our feet.",,0,0,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
27,4,the manager refused to return our money when we left within minutes of check-in.,,0,0,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
27,5,"we disputed the charge with our bank and within a few weeks the bank decided in out favor, returning the money.",,0,0,4,6,-2,623a4d7294028cfe9638272f,2,53,No.
28,1,i have my payments for my credit card to automatically withdraw on the 21st of each month.,,0,0,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
28,2,i had the exact amount in my account ready to be withdrawn.,['be withdrawn'],1,1,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
28,3,the bank took my payment of $207 twice causing my account to overdraft.,,0,0,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
28,4,i then was hit with multiple overdraft fees that my bank was giving me difficulty refunding them.,['was hit'],1,1,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
28,5,"i had to contact my bank and mark that as fraud, because thatâ€™s what the credit card company told me i had to do.",,0,0,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
28,6,i started the refund process that way and then had to ask to speak to a higher up to resolve my issue if the overdraft fees.,,0,0,1,7,-6,615de6dd9ffc5caa6b1e495a,3,26,
29,1,i recently ordered some groceries and they were delivered several hours past expected.,['were delivered'],1,1,1,6,-5,6109f35a1b748c0a8876d117,3,22,
29,2,"they kept assigning someone to deliver them, but it kept getting canceled.",['getting canceled'],1,1,1,6,-5,6109f35a1b748c0a8876d117,3,22,
29,3,they resolved it by giving me a $10 off promotion for my next order,,0,0,1,6,-5,6109f35a1b748c0a8876d117,3,22,
30,1,i had to get a new battery for my car.,,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,2,i took it into a dealership and they fixed it.,,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,3,they replaced the battery and everything was fine.,,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,4,"then, i went on a road trip and my car broke down.",,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,5,"it was all corroded, and i had to call an emergency mechanic.",,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,6,it turns out the battery was the wrong size and it shouldn't have corroded like that.,,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
30,7,"the mechanic fixed it, but the dealership was the reason it happened.",,0,0,1,7,-6,61f2ad10a09e72f23cbaf7aa,1,24,
31,1,once i ordered something online to pick up in the store.,,0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
31,2,"i got an email that said it had arrived, so i went to the store to pick it up, but no one was at the customer service desk.",,0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
31,3,"i asked someone to call someone to help me, but no one arrived for over 20 minutes, at which time the customer service desk was closed.",,0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
31,4,then the person who was helping me said the item hadn't arrived and that i needed to call online customer service.,,0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
31,5,the package that i was there to pick up was right behind him the whole time and i was very angry once i finally convinced him to look on the shelf.,,0,0,1,7,-6,575447b2cf4430000752a898,2,35,no
32,1,i ordered food on uber and it came completely different from what i had ordered.,,0,0,1,7,-6,5e7bd30c451d18212b458afa,2,20,
32,2,it was really hard getting in contact with uber's customer service.,,0,0,1,7,-6,5e7bd30c451d18212b458afa,2,20,
32,3,there was no clear way on the app or on the website of how to get in contact with them.,,0,0,1,7,-6,5e7bd30c451d18212b458afa,2,20,
32,4,"when i finally got in contact with them, they only gave me a $5 coupon and not a refund.",,0,0,1,7,-6,5e7bd30c451d18212b458afa,2,20,
33,1,i ordered a kitchen appliance using points online.,,0,0,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
33,2, i ordered it when there was a specific sale so that it was free to me due to the amount of points i had saved.,,0,0,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
33,3, the item was marked as delivered but i never received it.,['was marked'],1,1,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
33,4, the company did not send me a replacement.,,0,0,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
33,5, i had to argue for a refund of my point,,0,0,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
33,6,and then i was not able to purchase a replacement for the same price.,,0,0,1,7,-6,6156498c17bdcd7cb70c420c,2,37,No.
34,1,i contacted technology help desk via email to setup a new outlook folder and group for communications with my team.,,0,0,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
34,2,the request was denied and i was advised to submit through an alternate system.,"['was denied', 'was advised']",2,1,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
34,3,"however, outlook requests are not listed as available on this system.",['are not listed'],1,1,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
34,4,i called the the helpdesk but the analyst did not know how to address the problem.,,0,0,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
34,5,the analyst submitted a ticket a week ago,,0,0,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
34,6,but it has not been answered.,['been answered'],1,1,5,7,-2,5eaf02446c144d5e3a4d4562,1,51,
35,1,"i was trying to cancel a subscription with a cable company, and they were giving me a hard time about it.",,0,0,1,6,-5,5d3cbfc784c3c60019f03024,2,29,
35,2,"then, i got a cancelation fee billed to me, even though they said there would not be one.",,0,0,1,6,-5,5d3cbfc784c3c60019f03024,2,29,
35,3,it was frustrating because i felt duped by the service agent.,['duped by the service agent'],1,1,1,6,-5,5d3cbfc784c3c60019f03024,2,29,
35,4,"i had to then contact the company again and finally after much back and forth, they were able to resolve it for me and take off that fee.",,0,0,1,6,-5,5d3cbfc784c3c60019f03024,2,29,
